name,address,adname,pname,type,lat,lon
上海姚连生中学,玉屏南路450号(近娄山关路),长宁区,上海市,科教文化服务;学校;中学,31.215614232697092,121.40116722054577
上海市省吾中学,长宁支路315弄2号,长宁区,上海市,科教文化服务;学校;中学,31.226669327838348,121.41843759105421
复旦中学西部校区,淞虹路475号,长宁区,上海市,科教文化服务;学校;中学,31.217485934819766,121.35561634397392
上海延安实验初级中学,蒲淞南路51号,长宁区,上海市,科教文化服务;学校;中学,31.2171939237898,121.37017086924608
新泾中学,甘溪路280号,长宁区,上海市,科教文化服务;学校;中学,31.213320558758173,121.35926239159849
上海市西延安中学北校区,清池路211号,长宁区,上海市,科教文化服务;学校;中学,31.222798032698694,121.36070418741656
上海市仙霞高级中学,水城路450弄1号,长宁区,上海市,科教文化服务;学校;中学,31.210121519582003,121.38832443883626
包玉刚实验学校初中部,虹桥路2206号,长宁区,上海市,科教文化服务;学校;中学,31.195030340585056,121.37550855808563
上海李文斯顿美国学校,甘溪路580号,长宁区,上海市,科教文化服务;学校;中学,31.21428724595296,121.35253726029869
上海市新虹桥中学,中山西路1245弄16号,长宁区,上海市,科教文化服务;学校;中学,31.196261461385888,121.41426804566849
天山初中教育集团,天中路与长宁路交叉口南100米,长宁区,上海市,科教文化服务;学校;中学,31.21942553987217,121.38519131183548
上海市复旦初级中学,华山路1580号,长宁区,上海市,科教文化服务;学校;中学,31.206280323389255,121.42903510265849
包玉刚实验学校虹桥校区,虹桥路2206号,长宁区,上海市,科教文化服务;学校;中学,31.194871679075373,121.37522287543469
上海市延安中学(实验初中),宁路1302弄9号,长宁区,上海市,科教文化服务;学校;中学,31.216567656319533,121.36977543260343
上海市西延安中学南校区,清池路211号,长宁区,上海市,科教文化服务;学校;中学,31.221380445769572,121.360889010452
上海耀中国际学校虹桥校区,水城路11-15号,长宁区,上海市,科教文化服务;学校;中学,31.20222889518769,121.38705175268178
华东政法大学附属中学尚法实验室,番禺路270号附近,长宁区,上海市,科教文化服务;学校;中学,31.207580876871425,121.42453302056722
上海市新元学校,新泾镇新渔东路240号,长宁区,上海市,科教文化服务;学校;中学,31.214181155166838,121.38496990584957
耀中国际学校(古北校区),荣华西道18,长宁区,上海市,科教文化服务;学校;中学,31.194517822751354,121.3891434372282
新世纪中学,玉屏南路158号,长宁区,上海市,科教文化服务;学校;中学,31.215061440725986,121.40510445491215
上海市市西中学,愚园路404号,静安区,上海市,科教文化服务;学校;中学,31.22524123135883,121.4355633627397
市北初级中学分校,中华新路459弄10号,静安区,上海市,科教文化服务;学校;中学,31.25750489598543,121.46273525073536
市北中学,永兴路365号,静安区,上海市,科教文化服务;学校;中学,31.25435670897555,121.46558940139073
