SLONCOL,SLATCOL,ELONCOL,ELATCOL,VehicleNum
74,19,86,26,24
72,36,74,36,24
74,31,76,29,24
75,22,77,25,24
63,17,58,16,24
39,23,35,18,24
57,16,65,16,24
75,21,68,21,24
72,21,75,20,24
67,19,64,16,24
72,21,68,21,24
48,21,47,20,24
63,17,62,16,24
66,21,68,21,24
70,21,68,19,24
69,21,67,21,24
70,27,71,29,24
70,21,65,16,24
65,17,67,22,24
75,25,77,23,24
66,21,67,21,24
72,25,72,22,24
72,25,75,21,24
74,19,68,20,24
70,21,73,21,24
71,25,71,29,24
76,28,76,29,24
74,22,73,27,23
75,21,69,21,23
74,19,70,25,23
74,21,12,40,23
77,23,75,25,23
85,26,75,19,23
73,21,75,23,23
74,21,71,21,23
61,20,60,22,23
74,19,79,28,23
76,21,79,26,23
97,63,100,59,23
62,18,64,16,23
63,19,63,20,23
58,55,57,49,23
63,19,64,20,23
55,19,74,19,23
74,21,67,21,23
69,21,75,21,23
67,20,64,20,23
74,21,68,21,23
78,22,73,21,23
72,21,76,23,23
102,61,101,63,23
69,21,73,22,23
35,15,39,13,23
56,18,59,17,23
73,23,72,21,23
58,38,57,39,23
76,27,75,21,23
80,23,78,23,23
66,21,66,20,23
66,20,64,19,23
12,40,43,21,23
57,49,55,49,23
58,40,59,37,23
69,21,72,21,23
62,16,64,16,23
37,16,37,13,23
65,17,63,22,23
72,22,71,25,23
66,19,64,16,23
75,23,77,22,23
62,18,63,19,23
55,19,62,20,23
69,21,68,23,23
74,22,12,40,23
34,19,36,16,23
64,22,67,22,23
26,30,30,26,23
63,16,66,18,23
65,17,70,25,23
63,20,65,16,23
62,15,65,16,23
72,25,74,22,23
74,19,72,24,23
61,21,64,20,23
69,21,65,16,23
37,16,35,19,23
49,20,47,20,23
98,62,100,60,23
55,19,59,18,23
12,40,59,24,23
57,24,57,26,23
74,20,65,17,23
78,22,79,23,23
61,20,60,23,23
100,59,96,62,23
40,13,34,14,23
59,18,56,20,23
56,47,56,50,23
61,18,65,16,23
72,23,70,21,23
78,37,76,42,23
37,16,35,21,23
34,19,34,13,23
68,21,71,21,23
73,27,74,20,23
55,18,64,16,23
63,20,63,17,23
73,21,70,21,23
76,24,77,22,23
79,26,77,22,23
77,24,74,19,23
61,20,72,22,23
62,15,64,16,23
59,37,57,37,23
68,23,70,21,23
61,20,66,20,23
75,21,80,23,23
77,23,74,31,23
81,36,79,36,23
79,36,81,36,23
74,21,76,24,23
76,29,76,28,23
12,40,63,18,23
77,23,77,25,23
55,20,54,21,22
75,21,74,31,22
12,40,63,15,22
33,19,34,19,22
56,20,65,16,22
77,25,74,19,22
65,17,74,34,22
61,20,61,27,22
62,20,61,18,22
75,29,74,19,22
62,20,61,17,22
61,20,62,27,22
67,21,68,19,22
74,31,75,22,22
55,20,53,22,22
61,20,67,21,22
71,25,73,27,22
64,16,63,17,22
73,22,77,23,22
68,24,68,23,22
63,16,61,20,22
55,43,55,46,22
75,22,12,40,22
78,22,75,19,22
61,17,58,17,22
35,17,34,18,22
40,13,34,18,22
29,25,32,26,22
68,21,67,22,22
75,21,63,17,22
33,19,39,13,22
58,39,58,38,22
78,22,77,21,22
56,50,55,46,22
59,23,60,21,22
63,20,63,22,22
65,17,58,17,22
76,25,77,22,22
28,26,30,27,22
73,23,71,21,22
34,23,34,20,22
65,17,60,19,22
69,23,70,21,22
61,20,61,19,22
61,20,12,40,22
63,18,61,17,22
37,16,34,16,22
58,38,59,37,22
67,20,68,22,22
71,25,74,21,22
85,26,76,21,22
73,27,71,25,22
76,21,76,24,22
73,37,75,36,22
59,16,61,20,22
78,29,76,28,22
70,21,75,20,22
59,18,63,18,22
61,17,65,16,22
35,23,34,19,22
74,22,77,22,22
75,22,68,21,22
76,23,75,25,22
74,19,67,19,22
75,25,75,22,22
75,25,75,21,22
63,17,62,17,22
73,27,77,23,22
75,35,79,36,22
75,35,81,36,22
63,19,61,19,22
56,20,60,18,22
64,19,63,20,22
69,21,71,25,22
85,26,80,23,22
36,18,39,13,22
55,19,53,19,22
76,21,65,17,22
72,21,75,25,22
75,21,72,24,22
60,18,56,20,22
56,20,55,19,22
75,22,76,25,22
78,37,76,44,22
74,36,75,35,22
64,19,67,22,22
72,22,65,16,22
30,26,28,26,22
47,20,48,21,22
73,27,75,23,22
77,21,77,23,22
75,21,79,26,22
78,26,74,19,22
76,23,75,20,22
65,17,56,37,22
100,59,100,60,22
72,21,73,23,22
65,18,64,16,22
12,40,21,28,22
74,20,72,24,22
35,18,12,40,22
63,17,59,16,22
59,36,58,38,22
66,20,67,20,22
75,35,74,34,22
63,19,64,19,22
75,20,77,21,22
64,16,64,19,22
57,49,54,47,21
64,23,62,20,21
64,20,69,21,21
26,30,30,27,21
35,17,34,19,21
72,24,75,22,21
80,39,76,42,21
64,20,67,20,21
69,21,74,22,21
84,26,74,19,21
61,20,63,22,21
12,40,53,20,21
68,21,69,21,21
37,16,32,19,21
69,21,74,21,21
76,23,73,21,21
74,23,74,31,21
37,16,34,20,21
60,17,62,20,21
60,18,12,40,21
12,40,73,20,21
65,17,69,21,21
25,31,27,30,21
73,20,73,21,21
55,20,56,17,21
61,19,59,18,21
67,20,70,21,21
47,20,45,23,21
47,20,45,20,21
79,27,75,21,21
57,47,57,48,21
12,40,72,23,21
77,23,72,22,21
61,19,60,17,21
73,21,75,20,21
56,17,55,20,21
60,22,61,20,21
73,27,75,21,21
59,18,61,19,21
34,19,34,22,21
55,17,64,16,21
78,22,76,21,21
34,21,37,16,21
74,20,72,25,21
59,18,61,17,21
12,40,54,20,21
75,22,76,28,21
78,23,74,20,21
76,36,75,35,21
77,22,72,22,21
77,23,77,21,21
58,37,58,39,21
59,17,62,19,21
67,19,68,20,21
61,19,65,16,21
61,19,61,20,21
30,27,31,26,21
40,13,35,16,21
63,19,67,22,21
64,19,63,19,21
67,19,66,20,21
71,21,72,22,21
72,23,69,21,21
66,18,68,21,21
68,19,74,19,21
64,16,62,15,21
70,21,70,25,21
69,21,72,22,21
59,17,63,17,21
68,22,68,20,21
63,17,60,16,21
64,16,64,18,21
75,35,74,33,21
40,13,35,10,21
75,21,77,21,21
63,18,67,22,21
74,34,73,32,21
40,13,35,18,21
74,22,67,19,21
78,24,76,25,21
73,21,77,23,21
60,17,60,14,21
59,17,58,17,21
56,20,12,40,21
66,20,75,21,21
70,21,73,22,21
60,17,63,17,21
74,31,76,28,21
